"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"""ХИПОКРАТ"" ЕООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Белене","ул. ""България"" № 37","2012-01-17T00:00:00","1/1/2865","ул. ""Ген. Радецки"" № 35","Климентин Петров Пенев","","43.6488944","25.1285796"
"ЕТ ""ФАРМА - НЕЛИ ХАДЖИВАСИЛЕВА""","гр. Пловдив, район Северен","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. Александър Малинов 1","2010-04-16T00:00:00","2866","ул. Брезовска 48, бл. 80, вх. 80, ет. 4, ап. 10","Нели Николова Хадживасилева","","42.1494883","24.7560968"
"""ФАРМЕДИЯ"" ООД","гр. Варна 9020, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","бул. ""Владислав Варненчик"" № 3","2012-07-27T00:00:00","1/1/2867","бул. ""Република"" сграда на Медицицински център ""Младост""- Варна","Бисерка Великова Томова","","43.2071638","27.9098081"
"""СВЕТА СОФИЯ"" ЕООД","гр. София 1404, район Витоша","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. ""България"" № 104, МЦ ""Света София""","2012-07-19T00:00:00","1/1/2869","бул. ""България"" № 104","Веселин Грозданов Къркалиев","","42.6977082","23.3218675"
"""ЕЛКА НЕЙКОВА"" ЕООД","гр. София, район Витоша","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Шумен","ул. Цар Освободител 103","2010-04-16T00:00:00","2870","ул. Вихрен 34","Женя Иванова Дайчева","","43.2723315","26.9264557"
"""РЕНИ"" ООД","гр. Видин","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Видин","ул. Цар Симеон Велики 38","2010-04-19T00:00:00","2879","жк Стефан Стамболов, бл. 3, вх. А, ет. 1, ап. 1","Валентина Тодорова Цекова - Маркова","","43.9896003","22.8745309"
"""МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТА АННА"" СОФИЯ"" АД","гр. София, район Младост","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. София","жк Младост 1, ул. Димитър Моллов 1","2010-04-16T00:00:00","2871","жк Младост, ул. Димитър Моллов 1","Надежда Иванова Георгиева","","42.6602166","23.373219"
"""ОБРАЗЦОВА АПТЕКА СЛАВЕЙКОВ"" ЕООД","гр. Бургас 8000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Поморие","ул. ""Княз Борис І"" № 118 А","2012-06-06T00:00:00","1/1/2872","ж.к. ""Славейков"", МЦ-II до IX ОДЗ","Христина Василева Вардалиева","","42.5680485","27.6155704"
"""ДИД ФАРМА"" ООД","гр. Варна 9000, район Одесос","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","ул. ""Радко Димитриев"" № 49","2012-06-25T00:00:00","1/1/2874","ул. ""Радко Димитриев"" № 49","Маргарита Георгиева Иванова","","43.2102137","27.908875"
"ЕТ ""ЕВРОФАРМ - 2000 - ЕЛЕНА ДИЛОВА""","гр. Враца","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Враца","ул. Мито Орозов 16","2010-04-19T00:00:00","2877","жк Дъбника, бл. 13, вх. В, ет. 7, ап. 89","Елена Грозева Дилова","","43.2089962","23.5502091"
"""КРИМА - Б"" ООД","гр. София","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Христо Ботев 40","2010-04-19T00:00:00","2878","ул. Цар Иван Асен ІІ, № 95, ап. 2","Емилия Минчева Бакърджиева","","42.6940056","23.3153023"
"""МАРИАНА ДЕДЕВА"" ООД","гр. Габрово 5300","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Габрово","ул. Орловска № 87","2013-01-24T00:00:00","1/1/2890","ул. Орловска № 87, ет. 15, ап. 105","Пламен Илиянов Дедев","","42.8788257","25.3203382"
"""МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПУЛС"" АД","гр. Благоевград","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. Благоевград","ул. Славянска 62","2010-04-19T00:00:00","2880","ул. Славянска 62","Верка Стефанова Христова","","42.0215955","23.085136"
"ЕТ ""ИРОБАЛИЕВА - СЖН - СВЕТЛА СТЕФАНОВА""","гр. Хасково","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Хасково","ул. Единство 25","2010-04-20T00:00:00","2882","ул. Иларион Макариополски 9","Светла Атанасова Стефанова - Иробалиева","","41.9380084","25.5674451"
"ЕТ ""ВИЛИ - РБЛ ВИОЛЕТА ДАРАКИЕВА""","гр. София, район Надежда","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","жк Надежда І, бл. 120, вх. А","2010-04-20T00:00:00","2883","жк Свобода, бл. 4 А, вх. Б, ап. 18","Виолета Георгиева Даракиева - Величкова","","42.6977082","23.3218675"
"ЕТ ""МОНИК - РАЙНА СИМЕОНОВА""","гр. Смолян","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Смолян","бул. България 12 - Бизнес център","2010-04-20T00:00:00","2885","ул. Д.Благоев 10, бл. Черни връх 2, вх. А, ап. 5","Райна Тодорова Симеонова","","41.5774233","24.7011138"
"ЕТ ""МАЯ ПОПОВА - ФАРМА - МАЯ""","гр. София, район Средец","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Славянска 3 А","2010-04-20T00:00:00","2886","ул. Славянска 3 А","Мая Любомирова Попова","","42.6935535","23.3284636"
"ЕТ ""ЖЕНИ - ЕВГЕНИЯ ТИЛЕВА""","гр. София, район Връбница","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Ломско шосе 164","2010-04-20T00:00:00","2887","жк Връбница, бл. 621, вх. В, ет. 4, ап. 49","Евгения Илиева Нинова - Тилева","","42.7338057","23.2949638"
"ЕТ ""АСЕВА - АСЯ ВАСИЛЕВА""","гр. Добрич","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Добрич","жк Добротица, бл. 28","2010-04-20T00:00:00","2888","бул. 25-ти септември 64, вх. А, ет. 1, ап. 2","Ася Георгиева Василева","","43.5544917","27.8313669"
"ЕТ ""КЕБИ - ФАРМ - БИСЕР БЕШИРОВ""","гр. Неделино","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Неделино","ул. Ал. Стамболийски, бл. К - 1","2010-04-20T00:00:00","2891","ул. Топола 2","Бисер Минчев Беширов","","41.4563919","25.0787983"
"""МИЗОВИ"" ЕООД","гр. Пазарджик","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Главиница","Община Пазарджик","2010-04-20T00:00:00","2893","бул. България 29","Жорж Виктор Мизов","","42.158081","24.3129409"
"""РЕНУС"" ЕООД","гр. Габрово","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Габрово","ул. Скобелевска 10","2010-04-20T00:00:00","2894","ул. Омуртаг 4","София Георги Делуди","","42.87367099999999","25.3166835"
"""АПТЕКА ЕРУДИТА"" ЕООД","гр. София, район Сердика","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Христо Ботев 122, аптека 1","2010-04-20T00:00:00","2895","бул. Христо Ботев 122","Антон Костадинов Вълев","","42.6977082","23.3218675"
"""ГЕРИ ФАРМ"" ЕООД","с.Цалапица, общ.Родопи","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Цалапица","общ. Родопи, ул. Ал. Богориди 14, аптека 2","2010-04-21T00:00:00","2896","ул. 3-ти март 8","Гергана Любомирова Вълчинова","","42.1800675","24.5682775"
"""ЮНИСОФТ СОЛЮШЪНС"" ЕООД","гр. Варна, район Приморски","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","кв. Чайка, бл. 20, вх. А","2010-04-21T00:00:00","2897","ул. Зюмбюл 8, ет. 5, ап. 103","Стефка Христова Маринова","","43.2623761","27.812892"
"""ВИТАМЕД"" ООД","гр. Варна, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","ул. Цар Симеон І № 33","2010-04-21T00:00:00","2900","бул. Република, Сградата на МЦ Младост - Варна","Димитър Светославов Рохов","","43.2046654","27.9105425"
"""ТИМ"" ЕООД","гр. Смолян","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Смолян","ул. Баба Тонка 1","2010-04-21T00:00:00","2901","кв. Райково, ул. Изгрев 13 А","Мария Щонова Главинкова","","41.5698878","24.7284251"
"ЕТ ""СТЕФАНИ - 99 - СТЕФКА ЙОРДАНОВА""","гр. Белово","търговия на дребно с лекарствени продукти, с изключение на отпускани по лекарско предписание с ръководител помощник - фармацевт","с. Мененкьово","община Белово","2010-04-21T00:00:00","2902","ул. Белия камък 8","Стефка Михайлова Йорданова","пом.- фарм.","42.2298516","24.0581496"
"ЕТ ""АНГЕЛ ХАДЖИЦЕНЕВ""","гр. Якоруда","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Якоруда","ул. Цар Борис 111","2010-04-21T00:00:00","2903","ул. Места 23","Ангел Цветков Хаджиценев","","42.0179673","23.6702946"
"ЕТ ""НАТАЛИЯ КАРАБАШКА""","гр. София, район Искър","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","жк Дружба, бл. 61","2010-04-21T00:00:00","2908","жк Дружба, бл. 61, вх. Д, ет. 4, ап. 72","Наталия Георгиева Карабашка","","42.6597399","23.3954849"
"""АКСАКОВОФАРМА"" ООД","гр. Варна 9020, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Плевен","ул. ""Васил Левски"" № 2","2012-03-21T00:00:00","1/1/2910","бул. ""Република"", Сграда на МЦ ""Младост"" Варна","Виолета Димитрова Илиева","","43.4169806","24.611428"
"""ЕКСПЕРТФАРМ"" ЕООД","гр. София, район Красно село","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Нишава 50","2010-04-21T00:00:00","2911","жк Белите брези, ул. Битоля 18, бл. 62-65, вх. Д, ет. 6, ап. 94","Мариела Огнянова Дилова","","42.6776711","23.2918007"
"""МАРИЯ ПЛОВДИВ"" ЕООД","гр. Варна 9009, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Хисаря","ул. ""Ген. Гурко"" № 25 В","2012-09-28T00:00:00","1/1/2912","бул. ""Република"", сграда на Медицински център ""Младост"" Варна","Ани Симон Овагимян","","42.5049552","24.7100839"
"""БЕЛВЕКС"" ООД","гр. Варна 9020, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. ""Димитър Хаджикоцев"" № 20, 13 ДКЦ","2012-04-23T00:00:00","1/1/2913","бул. ""Република"", Сградата на МЦ Младост Варна","Калин Георгиев Николов","","42.6977082","23.3218675"
"""АКСАКОВОФАРМА"" ООД","гр.Варна 9020, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Ловеч","ул. ""Търговска"" № 101, ет. 1","2012-02-29T00:00:00","1/1/2915","бул. ""Република"", Сграда на МЦ Младост Варна","Здравка Найденова Георгиева","","43.1442419","24.7171"
"""МАЛИНОВА-2012"" ЕООД","гр. София 1303, район Възраждане","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","жк ""Левски - Г"", до бл. 29, срещу бл. 33","2012-06-04T00:00:00","1/1/2918","бул. ""Стефан Стамболов"" № 2, ет. 1, ап.1","Йорданка Василева Малинова","","42.6977082","23.3218675"
"""ЕС СИ ЕС ФРАНЧАЙЗ"" АД","гр. София 1113","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. ""Цариградско шосе"" № 115, ""Хермес парк - София"", маг. 1- 003S","2013-12-18T00:00:00","2922-1-М","район Изгрев, ул. ""Лъчезар Станчев"" № 5, Админ. търг. к-с, сграда А, ет. 8","Моника Кирилова Дамянова","","42.6977082","23.3218675"
"ШОНИ 2008 ЕООД","гр. Бургас 8000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","к/с ""Славейков"", бл. 80( УПИ ІV- 38, 39, кв. 37)","2012-02-28T00:00:00","1/1/2923","ж.к. ""Братя Миладинови"", бл. 67, вх. 2, ет. 7","Мирка Иванова Стойчева","","42.50479259999999","27.4626361"
"ЛАРИДА ООД","гр. Варна 9020, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. ""Димитър Талев"" № 59","2012-06-14T00:00:00","2/1/2924","бул. ""Република"", сградата на ""Медицински център Младост Варна""","Марина Хасан Ал Махамид","","42.1216032","24.7374093"
"ЕТ"" АНТОАНЕТА ЙОРДАНОВА""","гр. Димитровград","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Димитровград","ул. Христо Г.Данов 8","2010-05-18T00:00:00","2925","ул. Първи май 52, ет. 1","Антоанета Тенева Йорданова","","42.0544913","25.5816263"
"""БУРГАС ФАРМА"" ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","к-с ""Изгрев"", ул. ""Транспортна"", МОЛЛ ""Бургас Плаза"", маг. № 1 - 107S","2014-05-13T00:00:00","3/1/2926","район Витоша, бул. ""България"" № 118, Бизнес център ""Абакус"", ет. 2","Йорданка Иванова Иванова","","42.50479259999999","27.4626361"
"АРАРАТ ФАРМА- СОФИЯ ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Александър Малинов 1, бл. 3, Бизнеспарк","2014-08-27T00:00:00","1/1/2927","район Витоша, бул. България 118, б. ц-р Абакус, ет. 2","Антония Георгиева Топалова","","42.6977082","23.3218675"
"""МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХРИСТО БОТЕВ"" АД","гр. Враца","Аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. Враца","бул. Втори юни 66","2010-05-20T00:00:00","2931","бул. Втори юни 66","Румянка Кръстева Иванова","","43.2102375","23.5528803"
"""СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ НА ХЕМАТОЛОГИЧНИ ЗАБОЛЯВАНИЯ"" ЕАД","гр. София, район Студентски","Аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура","гр. София","ул. Пловдивско поле 6","2010-05-20T00:00:00","2934","ул. Пловдивско поле 6","Цветанка Методиева Вълчанова","","42.6606461","23.3600444"
"ЕТ "" АНФАРМ- ИНЖЕНЕРИНГ- АНКА МАРИНОВА""","гр. Полски Тръмбеш","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Полски Тръмбеш","ул. Търговска 78","2010-05-20T00:00:00","2935","ул. Търговска 93, ет. 4","Анка Петрова Маринова","","43.3617458","25.6339764"
"ВИТОН- С ЕООД","гр. София","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Хиподрума, бл. 133, вх. Б","2014-04-22T00:00:00","2/1/2938","район Люлин, жк Люлин, бл. 904 А, вх. А, ет. 5, ап. 13","Татяна Любенова Даскалова","","42.6796114","23.2916066"
""" АПТЕКА ВЕНЕЦИЯ"" ЕООД","гр. Благоевград","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Благоевград","ул. Кръстьо Асенов 31 А","2010-05-20T00:00:00","2941","ул. Кръстьо Асенов 31, вх. А","Софка Димитрова Трайкова","","42.0214633","23.0906758"
"""ФАРМА М 2012"" ЕООД","гр. Сандански 2800, област Благоевград","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Струмяни","община Струмяни, ул. ""Цар Калоян"" № 29","2012-07-17T00:00:00","1/1/2944","ул. ""Георги Казепов"" № 14","Невена Александрова Узунова","","41.6398847","23.201411"
"""МЕДИСТАР БЪЛГАРИЯ"" ООД","гр.Варна 9020, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. ""Васил Левски"" № 98","2012-04-23T00:00:00","1/1/2945","бул. ""Република"", сграда на МЦ Младост Варна","Светла Величкова Гогова","","42.6971486","23.3354318"
"ЕТ "" ОГИМЕКС- ОГНЯН КАРААТАНАСОВ""","гр. София, район Люлин","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Георги Брадистилов, УПИ ІІ, кв. 232","2010-05-25T00:00:00","2946","кв. Люлин, бл. 903, вх. В, ет. 3, ап. 51","Зоя Иванова Ронкова","","42.6977082","23.3218675"
"ЕТ"" ДОЧЕВИ- МАРИАНА ПЕНЧЕВА- ДОНЧЕВА""","гр. Кубрат","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Кубрат","ул. Вапцаров 6","2010-05-25T00:00:00","2947","ул. Н. Й. Вапцаров 6","Мариана Маринова Пенчева- Дончева","","43.7920451","26.5025828"
"ЕТ"" ДАНКА ЙОТОВА - АДМА""","гр. София, район Надежда","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","кв. Требич, ул. Павел Венков 8","2010-05-25T00:00:00","2950","жк Требич, ул. Павел Венков 8","Данка Минева Йотова","","42.7747228","23.3165539"
"""ИЛЮЕЛ"" ЕООД","гр. Кюстендил 2500","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Кюстендил","ул. П. Яворов 6","2014-11-03T00:00:00","1/1/2951","ул. Земен № 3","Влайко Владимиров Стратков","","42.2805845","22.692444"
""" БРОГИ"" ЕООД","гр. Пловдив, район Северен","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","жк Славейков, бл. 119","2010-05-25T00:00:00","2954","бул. България 126, ет. 1, ап. 3","Йорданка Иванова Иванова","","42.5169825","27.4588639"
"СКАЙ ТРЕЙД ЕООД","гр. София","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","жк Младост 1, бул. Ал. Малинов1 им. пл. № 2958, кв. 19","2014-10-04T00:00:00","2955-М","район Изгрев, ул. Елемаг 13 А","Мартина Младеновска","","42.6977082","23.3218675"
"СЕИБА- БЛАГОЕВГРАД- 1 ЕООД","гр. София","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Благоевград","ул. Тодор Александров 41","2014-06-03T00:00:00","1/1/2956","район Витоша, ул. Вихрен 34","Илияна Райкова Райкова-Михалкова","","42.0183317","23.0978399"
"""АРЗОС ФАРМА 2"" ЕООД","гр. Стара Загора 6000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. ""Генерал Столетов"" № 113","2012-02-21T00:00:00","1/1/2959","ул. ""Любен Каравелов"" № 91","Мария Стоева Христова","","42.4283711","25.6263138"
"ЕТ"" ГРОЗДАНКА АНТОНОВА""","гр. София, район Лозенец","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Княз Борис І № 58","2010-05-26T00:00:00","2961","ул. Никола Вапцаров 15, бл. 18, вх. Б","Грозданка Иванова Антонова","","42.6977082","23.3218675"
"ЕТ "" ЕЛИ- ФАРМ- ЕЛЕНА ХРИСТОВА""","гр. София, район Красна поляна","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Съборна 11 А","2010-05-26T00:00:00","2962","жк Западен парк, бл. 26, вх. 2, ап. 8","Елена Асенова Христова","","42.6964057","23.3225032"
"ЕТ ""ТИНА- НАДЯ ЧАКЪРОВА""","с. Дружинци, област Кърджали","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Фотиново","община Кирково, област Кърджали","2010-05-26T00:00:00","2963","с. Дружинци, община Кирково","Надя Методиева Чакърова","","41.3859036","25.353121"
"""АПТЕКА 5"" ООД","гр. Русе","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Русе","ул. Николаевска 67","2010-05-26T00:00:00","2966","ул. Николаевска 67","Янка Димитрова Георгиева","","43.8386586","25.9502111"
"""ФАРМА - М 2010"" ЕООД","гр. Божурище, област София","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Божурище","бул. Европа, жк Жилища, бл. 17","2010-05-26T00:00:00","2967","ул. Летец 1","Пенка Димитрова Тодорова","","42.7646489","23.1970498"
"""ОРХИС"" ЕООД","гр. Варна, район Приморски","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","ул. Капитан Райчо 4Б","2010-05-26T00:00:00","2968","ул. Роза, бл. 17, вх. Б, ет. 5, ап. 46","Златка Йорданова Станева","","43.2105902","27.9029172"
"""ЗДРАВЕ - 99"" ООД","гр. Оряхово","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Селановци","Община Оряхово, ул. Сергей Румянцев 24","2010-05-26T00:00:00","2970","ул. Васил Левски 10","Лилия Иванова Кахчиева","","43.6724239","24.0018305"
"""ФАРМА ЛЕК ЛОВЕЧ 1"" ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Ловеч","бул. ""България"" № 90","2012-05-14T00:00:00","1/1/2973","ул. ""Георги Кочев"" № 57","Емилия Илиева Иванова","","43.1367671","24.7162257"
"""АНТОАНЕД"" ООД","гр. Бургас","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","жк Братя Миладинови 132","2010-05-26T00:00:00","2975","жк Братя Миладинови, бл. 134, партер","Галина Стефанова Куртева","","42.5098964","27.4668028"
"""ХАН АСПАРУХ 1"" ЕООД","гр. Пазарджик","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Белово","бул. Освобождение 115","2010-05-27T00:00:00","2978","ул. Княз Александър Батенберг 14","Кръстина Иванова Манилова - Гьотенова","","54.416667","86.3"
"""ЛЕК ФАРМ"" ЕООД","гр. София, район Овча купел","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. София","жк Овча купел 1, бл. 527, вх. А","2010-05-27T00:00:00","2981","жк Овча купел, бл. 514, вх. А, ет. 7, ап. 27","Марийка Маринова Иванова","","42.7054377","23.2990188"
"""ГАБРОВОФАРМА 1"" ООД","гр. Варна 9009, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Кнежа","ул. ""Димитър Бутански"" № 62","2012-12-17T00:00:00","2/1/2984","бул. ""Република"", сграда на Медицински център ""Младост"" Варна","Зюлейка Асанова Алтънджийска","","43.4924723","24.0820881"
"""ГАБРОВОФАРМА 1"" ООД","гр. Варна 9009, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","район ""Слатина"", бул. ""Шипченски проход"" № 18, маг. 18","2012-09-26T00:00:00","1/1/2985","бул. ""Република"", сграда на Медицински център ""Младост"" Варна","Росица Стефанова Илиева","","42.6817028","23.3561836"
"ЕТ"" МАРИЕЛА ПРОДАНОВА - ВИТА""","гр. Смолян","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Смолян","бул. България 19","2010-02-06T00:00:00","2986","ул. Петър Берон 6, бл. Острица 5, вх. В, ап. 39","Мариела Георгиева Проданова","","41.5763194","24.7038261"
"ЕТ"" РОЗАЛИЯ КАНАЗИРЕВА""","гр. София, район Слатина","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Шипченски проход 42, бл. 248","2010-02-06T00:00:00","2987","жк Гео Милев, бл. 117, вх. А, ет. 4, ап. 12","Розалия Николова Каназирева","","42.6817028","23.3561836"
"ЕТ"" ТОНИ- ТОДОР ТОДОРОВ""","гр. Враца","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Враца","жк Дъбника, кв.151","2010-02-06T00:00:00","2988","ул. Гръчарска 6, бл. 1, ап. 4","Тодор Иванов Тодоров","","43.2332347","23.5293215"
"ЕТ ""КИТКА ЙОРДАНОВА-СИНТЕЗ""","гр. София 1784, район Младост","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","район ""Студентски"", ул. ""Яна"" № 4","2012-03-13T00:00:00","1/1/2990","жк Младост- 1, бл. 34 Б, вх. А, ет. 4, ап. 8","Китка Петкова Йорданова","","42.6511982","23.3609414"
"ЕТ"" САРКИС САКЪЗ""","гр. Стара Загора","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сливен","ул. Мур 2","2010-02-06T00:00:00","2992","ул. Иван Вазов 15, вх. А, ап. 36","Ваньо Енчев Иванов","","42.6785479","26.327379"
""" АПТЕКИ ЗДРАВЕЦ"" ЕООД","гр. Лом","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Берковица","бл. Бор 2","2010-06-18T00:00:00","3063","ул. Пирин 15","Илияна Атанасова Римпева","","43.2403629","23.1378967"
""" НИРА- 91"" ЕООД","гр. София, район Слатина","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Константин Иречек 50","2010-04-06T00:00:00","2995","жк Христо Смирненски, бл. 22, вх. Г, ет. 4, ап. 10","Ралица Тодорова Станева","","42.6862314","23.3073043"
"ЕТ"" НАТАЛИЯ ДУКОВА""","гр. Хасково","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Димитровград","бул. Христо Ботев 41","2010-07-06T00:00:00","2996","жк Орфей, бл. 11, ет. 2, ап. 7","Наталия Кирякова Дукова","","42.051753","25.5812925"
